timestamp,ask_1_price,ask_1_size,bid_1_price,bid_1_size,ask_2_price,ask_2_size,bid_2_price,bid_2_size,ask_3_price,ask_3_size,bid_3_price,bid_3_size,ask_4_price,ask_4_size,bid_4_price,bid_4_size,ask_5_price,ask_5_size,bid_5_price,bid_5_size
1740787200000,147.86,95.063,147.85,140.445,147.87,23.121,147.84,62.963,147.88,103.69,147.83,32.032,147.89,306.393,147.82,100.391,147.9,141.021,147.81,139.618
1740787260000,147.76,0.411,147.75,353.234,147.77,0.372,147.74,197.106,147.78,33.969,147.73,22.788,147.79,105.02,147.72,21.085,147.8,60.514,147.71,36.596
1740787320000,147.6,196.009,147.59,56.083,147.61,228.607,147.58,108.853,147.62,184.744,147.57,122.669,147.63,140.067,147.56,90.124,147.64,455.159,147.55,111.45
1740787380000,147.46,122.683,147.45,378.449,147.47,82.301,147.44,51.823,147.48,173.167,147.43,47.466,147.49,213.196,147.42,100.447,147.5,186.457,147.41,174.636
1740787440000,147.27,50.477,147.26,191.52,147.28,88.942,147.25,117.769,147.29,259.25,147.24,210.509,147.3,89.966,147.23,131.843,147.31,173.671,147.22,237.582
1740787500000,147.3,0.65,147.29,396.844,147.31,25.759,147.28,45.257,147.32,63.553,147.27,44.531,147.33,147.743,147.26,67.057,147.34,368.387,147.25,242.434
1740787560000,147.58,69.551,147.57,442.19,147.59,177.02,147.56,205.256,147.6,129.179,147.55,119.296,147.61,197.454,147.54,102.467,147.62,324.116,147.53,79.931
1740787620000,147.41,68.759,147.4,211.899,147.42,37.989,147.39,67.826,147.43,165.611,147.38,156.663,147.44,325.264,147.37,76.161,147.45,207.996,147.36,292.065
1740787680000,147.42,247.949,147.41,92.087,147.43,318.337,147.4,67.957,147.44,124.645,147.39,267.462,147.45,137.883,147.38,270.924,147.46,85.23,147.37,305.61
1740787740000,147.56,120.755,147.55,64.102,147.57,38.775,147.54,32.63,147.58,51.235,147.53,146.34,147.59,147.462,147.52,107.728,147.6,165.767,147.51,298.849
